id,timestamp,mode,counts
65782,420,all,800
65782,435,all,800
65782,450,all,800
65782,465,all,800
65782,480,all,800
65782,495,all,800
65782,510,all,800
65782,525,all,800
65782,540,all,800
65782,555,all,800
65782,570,all,800
65782,585,all,800
65782,600,all,800
61038,420,all,800
61038,435,all,800
61038,450,all,800
61038,465,all,800
61038,480,all,800
61038,495,all,800
61038,510,all,800
61038,525,all,800
61038,540,all,800
61038,555,all,800
61038,570,all,800
61038,585,all,800
61038,600,all,800
67561,420,all,1400
67561,435,all,1400
67561,450,all,1400
67561,465,all,1400
67561,480,all,1400
67561,495,all,1400
67561,510,all,1400
67561,525,all,1400
67561,540,all,1400
67561,555,all,1400
67561,570,all,1400
67561,585,all,1400
67561,600,all,1400
60998,420,all,600
60998,435,all,600
60998,450,all,600
60998,465,all,600
60998,480,all,600
60998,495,all,600
60998,510,all,600
60998,525,all,600
60998,540,all,600
60998,555,all,600
60998,570,all,600
60998,585,all,600
60998,600,all,600
53091,420,all,300
53091,435,all,300
53091,450,all,300
53091,465,all,300
53091,480,all,300
53091,495,all,300
53091,510,all,300
53091,525,all,300
53091,540,all,300
53091,555,all,300
53091,570,all,300
53091,585,all,300
53091,600,all,300
